object_id,event_id,lat,lng,event_date,size,country,landslide_category
3837553,13708,26.52361797,-78.71878782,2019-09-04 11:21:15,large,Bahamas,landslide
3837554,13709,11.50340214,76.13474585,2019-08-08 05:03:44,very_large,India,landslide
3837555,13710,11.41001301,76.24145818,2019-08-08 05:32:44,catastrophic,India,landslide
3837556,13715,4.2355194,-73.81706326999998,2019-06-07 04:59:34,medium,Colombia,landslide
3837558,13717,12.21522844,75.84626678,2018-08-18 08:00:00,large,India,landslide
3837559,13718,11.91014201,75.45875638999998,2018-08-18 04:00:00,large,India,landslide
3837561,13772,35.76826103,35.89946671,2019-10-15 13:13:09,unknown,Syria,landslide
3837563,13774,35.76826103,35.89946671,2019-10-15 13:13:09,unknown,Syria,landslide
3837565,13777,35.76826103,35.89946671,2019-10-15 13:13:09,unknown,Syria,landslide
3837567,13779,46.07344816,-118.2721101,2019-10-17 15:08:09,unknown,United States,landslide
3837569,13781,35.76826103,35.89946671,2019-10-15 13:13:09,unknown,Syria,landslide
3837571,13783,-22.99848565,-43.24682948,2019-05-16 04:54:00,large,Brazil,landslide
3837575,13787,6.28916666,-75.54363613,2018-06-09 11:58:58,medium,Colombia,landslide
3837579,13791,6.28916666,-75.54363613,2018-06-09 11:58:58,medium,Colombia,landslide
3837580,13792,35.45436747,-5.11049693,2020-03-25 15:21:29,large,Morocco,landslide
3837588,13813,-2.50924609,28.8404542,2018-12-23 19:19:38,unknown,Congo DRC,landslide
3837591,13815,-19.90674608,-43.93654539,2018-12-29 19:19:38,unknown,Brazil,landslide
3837596,13808,61.50607256,6.1024482,2019-07-31 04:00:00,large,Norway,landslide
3837597,13816,11.96697752,75.8086905,2018-08-01 04:00:00,unknown,India,landslide
3837598,13817,19.15235345,101.14109824,2018-07-31 04:00:00,medium,Thailand,landslide
3837599,13818,11.96697752,75.8086905,2018-08-01 04:00:00,unknown,India,landslide
3837604,13796,30.27158781,79.44950952,2018-08-30 04:00:00,medium,India,landslide
3837605,13797,12.82257645,75.62131525000002,2018-08-28 04:00:00,medium,India,landslide
3837611,13801,11.86719598,75.63005659999997,2020-08-16 04:00:00,medium,India,landslide
3837613,13803,11.86719598,75.63005659999997,2020-08-16 04:00:00,medium,India,landslide
3837614,13683,46.75930401,9.19753718,2019-03-12 15:00:00,large,Switzerland,landslide
3837615,13684,50.182109999999994,8.468219999999999,2019-04-11 08:30:00,medium,Germany,landslide
3837616,13685,-31.09715948,-64.44392962,2019-04-02 00:00:00,small,Argentina,landslide
3837617,13686,34.7899341,46.73140339,2019-04-02 00:00:00,small,Iran,landslide
3837619,13688,48.75925461,13.40223174,2019-03-28 00:00:00,medium,Germany,landslide
3837622,13691,48.86273117,8.218534680000001,2017-08-12 00:00:00,medium,Germany,landslide
3837630,13696,46.36603374,8.94505932,2016-04-17 18:30:00,medium,Switzerland,landslide
3837632,13698,47.42140403,13.4045168,2019-03-03 23:00:00,medium,Austria,landslide
3837633,13699,2.2379054,-76.77434487,2019-04-22 15:10:41,medium,Colombia,landslide
3837634,13722,41.99089514,-74.35309047,1968-05-29 04:00:00,small,United States,landslide
3837635,13723,25.56728469,91.90642696,2019-07-09 12:37:24,unknown,India,landslide
3837636,13724,25.58822736,92.02269564,2019-07-09 12:37:24,unknown,India,landslide
3837637,13725,25.53663703,91.98082795,2019-07-09 12:37:24,unknown,India,landslide
3837642,13730,47.58476,12.17185,2017-11-10 17:31:44,medium,Austria,landslide
3837647,13735,48.84512468000001,8.68186908,2019-06-03 18:44:59,small,Germany,landslide
3837653,13738,5.06456877,-75.81061786,2019-05-20 18:48:26,medium,Colombia,landslide
3837655,13740,4.21568,-73.81477,2019-05-21 21:54:34,large,Colombia,landslide
3837656,13741,4.2570219599999986,-73.82458909,2019-05-21 21:42:04,medium,Colombia,landslide
3837658,13743,6.0087,-75.83792000000003,2019-05-28 23:32:08,large,Colombia,landslide
3837659,13744,48.11206,14.565610000000001,2019-06-01 18:44:59,medium,Austria,landslide
3837660,13745,48.81819544,9.64445269,2019-05-21 18:44:59,medium,Germany,landslide
3837662,13747,50.11148644,11.49328743,2019-05-21 18:44:59,medium,Germany,landslide
3837663,13748,46.56765141,11.262420500000001,2019-05-21 18:44:59,medium,Italy,landslide
3837668,13753,18.59114068,-71.45223585000002,2010-11-05 17:08:43,medium,Dominican Republic,landslide
3837675,13760,50.92670806,14.235185759999998,2019-06-10 21:34:17,medium,Germany,landslide
3837676,13761,4.22431624,-73.81577806000001,2019-06-15 13:30:49,large,Colombia,landslide
3837677,13762,52.75731846,-0.7796061200000001,2019-06-13 16:56:37,medium,United Kingdom,landslide
3837686,13702,46.749520000000004,12.43975,2019-08-22 20:27:33,large,Austria,landslide
3837687,13703,26.52997854,-77.05946639,2019-09-04 16:41:51,medium,Bahamas,landslide
3837690,13705,-33.04366127,-71.62283508,2019-08-13 20:27:33,large,Chile,landslide
3837693,14185,18.97213889,84.15813889,2018-10-13 20:40:23,large,India,landslide
3837696,14055,31.34335179,76.76200671,2018-08-10 21:25:30,unknown,India,landslide
3837697,14069,10.05487169,77.03736624,2018-08-09 23:01:38,medium,India,landslide
3837699,14046,12.41220889,75.73422934,2018-08-09 21:25:30,medium,India,landslide
3837700,14143,56.22660046,-4.856518500000001,2018-10-12 07:04:51,large,United Kingdom,landslide
3837701,14212,33.212653270000004,75.36251229999998,2018-10-19 18:11:39,medium,India,landslide
3837702,14152,10.41934475,-61.33477897,2018-08-17 19:03:57,small,Trinidad and Tobago,landslide
3837703,14043,16.52140962,80.60751229,2018-12-17 16:10:33,medium,India,landslide
3837704,14139,9.74109526,76.71354671,2018-08-08 22:25:11,medium,India,landslide
3837705,14102,30.821298950000006,78.23265711,2018-08-08 22:25:03,large,India,landslide
3837706,14035,28.82707703,82.39104977000002,2018-08-05 20:50:01,unknown,Nepal,landslide
3837709,14097,34.06795758,-118.58951817,2018-12-10 21:35:55,small,United States,landslide
3837710,14163,38.90134057,-111.65704866,2018-08-05 20:50:01,small,United States,landslide
3837711,14188,5.98976606,-74.94844244000002,2018-10-20 16:45:13,large,Colombia,landslide
3837712,14229,11.36670899,76.22109653,2018-08-08 21:25:30,large,India,landslide
3837713,14145,54.53196209,-0.7143602800000001,2018-08-08 20:14:35,medium,United Kingdom,landslide
3837715,14199,56.8790041,-5.598567419999998,2018-01-22 21:14:35,large,United Kingdom,landslide
3837716,14230,40.34815838,49.83014521000001,2018-10-17 20:40:23,medium,Azerbaijan,landslide
3837718,14106,40.33341159,49.81613007,2018-10-12 20:40:23,medium,Azerbaijan,landslide
3837719,14129,2.10342634,112.28815719,2018-12-14 16:10:33,medium,Malaysia,landslide
3837720,14148,53.17044349,-6.0779896299999985,2018-10-19 07:04:51,medium,Ireland,landslide
3837721,14048,31.21389741,98.61776888,2018-10-11 07:10:00,large,China,landslide
3837722,14058,-35.06436325,149.37332122,2018-12-14 21:35:54,medium,Australia,landslide
3837723,14094,-8.22260516,111.15808994,2018-12-07 13:15:26,medium,Indonesia,landslide
3837724,14174,57.07597767,-5.18627341,2018-11-10 13:15:26,large,United Kingdom,landslide
3837725,14110,30.7384152,76.98640069,2018-08-13 20:06:27,medium,India,landslide
3837726,14075,7.08307173,-73.83925691,2018-10-22 03:49:19,large,Colombia,landslide
3837727,14101,-41.07024956,174.8597888,2017-07-14 07:04:51,small,New Zealand,landslide
3837729,14147,21.35447216,-157.81825823,2018-10-28 19:03:57,small,United States,landslide
3837730,14224,-45.9073484,170.48445388,2018-12-12 16:10:33,small,New Zealand,landslide
3837731,14181,38.95959326,17.09303793,2018-10-28 19:03:57,medium,Italy,landslide
3837733,14038,33.33197566,75.20070999,2018-12-15 16:10:33,small,India,landslide
3837734,14210,6.000490900000001,-74.95295526,2018-10-26 16:45:13,medium,Colombia,landslide
3837736,14107,10.83053999,-61.05730089,2018-10-21 03:49:19,small,Trinidad and Tobago,landslide
3837739,14175,50.64640488,-1.16427914,2018-12-15 16:10:33,small,United Kingdom,landslide
3837740,14168,8.843670490000003,-79.83065189,2018-08-04 20:50:01,small,Panama,landslide
3837741,14203,28.69472685,82.21129644,2018-08-05 23:12:19,medium,Nepal,landslide
3837742,14226,10.71318264,122.26521000000001,2018-08-05 20:14:35,medium,Philippines,landslide
3837744,14039,46.26807592,12.3284975,1963-10-09 04:00:00,catastrophic,Italy,landslide
3837745,14159,10.16699483,76.75872389,2018-08-08 21:25:30,medium,India,landslide
3837747,14184,54.5448083,-0.76470859,2018-10-27 19:03:57,small,United Kingdom,landslide
3837748,14033,40.34226668,49.80870117,2018-10-17 20:40:23,small,Azerbaijan,landslide
3837749,14037,10.7787516,-61.39364623,2018-10-21 03:49:19,small,Trinidad and Tobago,landslide
3837750,14172,10.014710000000001,76.94682999999998,2018-08-09 21:19:10,medium,India,landslide
3837751,14066,16.954818449999998,-95.84687781,2018-10-19 03:49:19,medium,Mexico,landslide
3837752,14204,59.40995688,-135.94906167000002,2018-10-14 18:11:39,medium,United States,landslide
3837754,14164,31.12029184,77.35887837,2018-08-06 20:31:20,small,India,landslide
3837756,14179,32.17102661,76.41866146,2018-08-08 22:25:03,large,India,landslide
3837757,14076,41.93468793,23.59003707,2018-12-20 16:10:33,small,Bulgaria,landslide
3837758,14192,43.88963742,7.42897915,2018-04-29 20:40:23,medium,France,landslide
3837759,14080,12.80189359,75.59095835000002,2018-08-08 23:01:38,medium,India,landslide
3837760,14113,32.55696156,76.1291057,2018-08-08 20:14:35,medium,India,landslide
3837761,14193,13.19722222,-85.82541667,2018-10-21 03:49:19,medium,Nicaragua,landslide
3837763,14111,1.05174835,111.82976501,2018-10-17 20:40:23,medium,Malaysia,landslide
3837764,14206,11.74045825,75.79592486,2018-08-08 23:01:38,small,India,landslide
3837765,14124,12.82847613,75.51598335,2018-08-14 14:16:30,medium,India,landslide
3837767,14081,30.917143990000003,78.68361831,2018-08-10 21:25:30,large,India,landslide
3837769,14151,40.34491491,49.83200943,2018-10-12 07:04:51,medium,Azerbaijan,landslide
3837770,14112,40.79850327,-123.39729539,2018-12-20 16:10:33,small,United States,landslide
3837771,14194,30.04014521,80.31354955,2018-08-09 22:25:11,unknown,India,landslide
3837773,14047,38.75917555,-111.92448358,2018-08-08 20:14:35,small,United States,landslide
3837774,14180,45.28187302,-72.51082503,2018-08-09 21:19:10,small,Canada,landslide
3837776,14068,10.02195311,76.94077696000002,2018-08-09 21:19:10,medium,India,landslide
3837777,14200,29.85124503,80.55415467,2018-08-09 22:25:11,unknown,Nepal,landslide
3837783,13856,18.02344856,97.85477827,2018-07-30 04:00:00,small,Thailand,landslide
3837784,13835,33.305957899999996,75.17356727,2018-10-29 20:57:33,small,India,landslide
3837788,13883,50.26222222,17.24444444,nan,small,Czech Republic,landslide
3837789,13867,50.27833333,12.99,nan,small,Czech Republic,landslide
3837790,14006,49.88350611,18.43347417,nan,small,Czech Republic,landslide
3837791,13947,49.88132306,18.43459778,nan,small,Czech Republic,landslide
3837793,14001,50.4973,13.62511611,nan,small,Czech Republic,landslide
3837794,14021,50.55047250000001,13.50832639,nan,medium,Czech Republic,landslide
3837795,13985,50.68050278000001,14.10459806,nan,small,Czech Republic,landslide
3837798,13932,50.65472222,13.73777778,nan,small,Czech Republic,landslide
3837799,13950,50.67519389,14.03331167,nan,small,Czech Republic,landslide
3837800,13941,50.75944444,14.21472222,nan,small,Czech Republic,landslide
3837802,13892,49.716944440000006,18.475,nan,small,Czech Republic,landslide
3837803,13977,48.86916667000001,17.545,nan,small,Czech Republic,landslide
3837804,13994,48.93805556,17.52972222,nan,small,Czech Republic,landslide
3837807,13912,50.13805556,15.63694444,nan,small,Czech Republic,landslide
3837808,13986,49.685875,18.34230333,nan,small,Czech Republic,landslide
3837809,13901,49.65361111,18.420277780000006,nan,small,Czech Republic,landslide
3837810,13976,49.75583333,18.02111111,nan,small,Czech Republic,landslide
3837811,14002,49.96350944,16.38136972,nan,small,Czech Republic,landslide
3837812,13910,49.90333333,18.23611111,nan,small,Czech Republic,landslide
3837813,13988,49.65416028,18.40211167,nan,small,Czech Republic,landslide
3837814,13923,49.02940611,17.642120000000002,nan,small,Czech Republic,landslide
3837815,13863,50.35694444000001,16.93055556,nan,small,Czech Republic,landslide
3837816,13958,49.13027778,16.62694444,nan,small,Czech Republic,landslide
3837817,13893,49.38451611,18.04313,nan,small,Czech Republic,landslide
3837818,14004,49.5315,18.79158333,nan,medium,Czech Republic,landslide
3837819,13891,49.64941667,18.2735,nan,small,Czech Republic,landslide
3837820,13868,50.28302778000001,13.52055556,nan,small,Czech Republic,landslide
3837821,13889,50.28083333,13.62555556,nan,small,Czech Republic,landslide
3837822,13922,50.12057806,16.93851472,nan,small,Czech Republic,landslide
3837823,13914,50.12833333,13.79027778,nan,small,Czech Republic,landslide
3837824,13920,50.10458278,14.41793806,nan,small,Czech Republic,landslide
3837825,13928,49.33969444,17.99841667,nan,small,Czech Republic,landslide
3837826,13973,49.41611111,18.10938889,nan,small,Czech Republic,landslide
3837827,13902,50.21305556,12.72166667,nan,medium,Czech Republic,landslide
3837828,13957,49.57248639,17.95904167,nan,small,Czech Republic,landslide
3837829,13904,50.87214917,15.22659889,nan,small,Czech Republic,landslide
3837831,13882,49.09531556,17.84056056,nan,small,Czech Republic,landslide
3837832,13990,49.43641528,17.98917306,nan,small,Czech Republic,landslide
3837833,13873,50.19275,12.84536111,nan,small,Czech Republic,landslide
3837834,14010,48.91468889,17.67773778,nan,small,Czech Republic,landslide
3837836,13866,50.22611111000001,12.8005,nan,small,Czech Republic,landslide
3837837,13907,49.1471,17.96858833,nan,small,Czech Republic,landslide
3837841,13991,49.85751722,14.70060639,nan,small,Czech Republic,landslide
3837842,14019,50.56443083,14.01610861,nan,medium,Czech Republic,landslide
3837843,13919,50.11626,15.1007075,nan,small,Czech Republic,landslide
3837844,13894,50.42190167,14.90157361,nan,small,Czech Republic,landslide
3837845,14013,50.57945889,15.73794722,nan,small,Czech Republic,landslide
3837849,13970,48.94650472,16.31287333,nan,small,Czech Republic,landslide
3837850,13984,49.14185333,16.38765333,nan,small,Czech Republic,landslide
3837851,13997,48.85176889,16.04739917,nan,small,Czech Republic,landslide
3837852,13929,49.13527778,17.77252778,nan,small,Czech Republic,landslide
3837853,13948,49.46718639,18.20396861,nan,small,Czech Republic,landslide
3837855,13921,50.60415944,14.06979556,nan,small,Czech Republic,landslide
3837856,13936,49.86808694000001,18.27648639,nan,small,Czech Republic,landslide
3837858,13880,50.68847639,14.09136528,nan,small,Czech Republic,landslide
3837859,13964,50.66203806,14.1185325,nan,small,Czech Republic,landslide
3837861,13876,50.30673917,13.45080222,nan,small,Czech Republic,landslide
3837862,13972,50.38487333,13.59472222,nan,small,Czech Republic,landslide
3837863,13924,49.10563083,17.34253056,nan,small,Czech Republic,landslide
3837864,13998,49.6423175,14.24730417,nan,small,Czech Republic,landslide
3837865,13966,49.65083333,14.24941667,nan,small,Czech Republic,landslide
3837866,13872,49.65935722,18.69069861,nan,small,Czech Republic,landslide
3837867,13969,49.21627778,13.17461111,nan,small,Czech Republic,landslide
3837868,13937,49.22230556,14.72316667,nan,small,Czech Republic,landslide
3837870,13987,50.64038889,14.00369444,2014-07-01 00:00:00,small,Czech Republic,landslide
3837871,13886,50.69508333,15.13969444,nan,small,Czech Republic,landslide
3837872,13961,49.35013889,18.22883333,nan,small,Czech Republic,landslide
3837873,13913,50.62180556,14.0545,nan,medium,Czech Republic,landslide
3837874,14018,48.94886111,16.802694440000003,nan,small,Czech Republic,landslide
3837875,13934,48.90958972,16.645381389999994,nan,small,Czech Republic,landslide
3837876,13860,48.88641639,16.65727972,nan,small,Czech Republic,landslide
3837877,13905,48.83470639,16.74393111,nan,small,Czech Republic,landslide
3837878,13875,49.15886361,17.07211028,nan,small,Czech Republic,landslide
3837879,13951,49.01943694,17.8312825,nan,small,Czech Republic,landslide
3837880,13981,50.55333333,14.03544444,nan,small,Czech Republic,landslide
3837881,13887,49.77793861,18.43196861,nan,small,Czech Republic,landslide
3837883,14014,50.332540830000006,12.49997833,2015-03-01 00:00:00,small,Czech Republic,landslide
3837884,13956,49.3938725,18.14454528,2015-03-01 00:00:00,small,Czech Republic,landslide
3837885,13946,49.12785528,17.62847167,nan,small,Czech Republic,landslide
3837886,14015,50.32568806,13.58608944,nan,small,Czech Republic,landslide
3837887,13861,50.3428125,13.34977722,nan,small,Czech Republic,landslide
3837888,13945,49.322492499999996,18.02481472,nan,small,Czech Republic,landslide
3837889,13955,49.35268972,17.9816425,nan,small,Czech Republic,landslide
3837890,13870,49.23685333,17.67430111,nan,small,Czech Republic,landslide
3837891,13916,50.32603556,13.55190056,nan,small,Czech Republic,landslide
3837892,13906,50.32597639,13.55765333,nan,small,Czech Republic,landslide
3837894,13909,50.66458611,15.95093389,nan,small,Czech Republic,landslide
3837895,13953,48.61726306,14.342604999999999,nan,small,Czech Republic,landslide
3837896,14012,50.61759361,15.30723694,nan,small,Czech Republic,landslide
3837897,13940,50.69583722,15.13331639,nan,small,Czech Republic,landslide
3837898,13952,50.22489056,12.80209111,nan,small,Czech Republic,landslide
3837899,13962,50.1376925,15.6295075,nan,small,Czech Republic,landslide
3837900,13939,48.90832639,15.82062333,nan,small,Czech Republic,landslide
3837901,13899,50.91624833,14.47819667,nan,small,Czech Republic,landslide
3837902,13996,50.25392944,12.99217917,nan,small,Czech Republic,landslide
3837903,13864,49.11391333,16.87064194,nan,small,Czech Republic,landslide
3837904,13954,50.77365583,14.55283944,nan,small,Czech Republic,landslide
3837906,13942,49.15110167,17.740176669999997,nan,small,Czech Republic,landslide
3837909,13874,49.16663528,17.47573083,nan,small,Czech Republic,landslide
3837910,13885,50.61540056,16.30794806,nan,small,Czech Republic,landslide
3837911,13933,49.08278139,17.729985,nan,small,Czech Republic,landslide
3837912,13925,49.50133611,16.62729722,nan,small,Czech Republic,landslide
3837913,13980,49.86738194,14.394405829999998,nan,small,Czech Republic,landslide
3837915,14017,49.70713194,14.89419667,nan,small,Czech Republic,landslide
3837916,14000,49.84214639,16.28356222,nan,small,Czech Republic,landslide
3837917,13965,50.0103775,14.62760917,nan,small,Czech Republic,landslide
3837919,13926,50.68681643,13.85660694,nan,small,Czech Republic,landslide
3837920,13974,49.64350222,18.14622167,nan,small,Czech Republic,landslide
3837921,13862,50.69548917,13.71847861,nan,small,Czech Republic,landslide
3837923,13975,49.14129417,15.00145556,nan,small,Czech Republic,landslide
3837925,13903,49.9445475,14.32916389,nan,small,Czech Republic,landslide
3837926,14024,50.60064917,15.32581361,nan,small,Czech Republic,landslide
3837927,13871,49.15252556,13.90586583,nan,small,Czech Republic,landslide
3837928,14003,49.20345111,16.70836667,nan,small,Czech Republic,landslide
3837932,13884,49.45484472,16.642676390000002,nan,small,Czech Republic,landslide
3837933,13927,49.99867250000001,14.33256972,nan,small,Czech Republic,landslide
3837936,13930,49.76683306,18.46389167,nan,small,Czech Republic,landslide
3837938,13995,48.86265028,16.034284999999993,nan,small,Czech Republic,landslide
3837941,14007,49.27774194000001,16.85706972,nan,small,Czech Republic,landslide
3837944,13938,50.02704833,14.40583611,nan,small,Czech Republic,landslide
3837946,13983,49.2175,16.499722220000002,nan,small,Czech Republic,landslide
3837949,13911,49.30220611,17.21242861,nan,small,Czech Republic,landslide
3837951,13993,50.58750778,13.79766278,nan,small,Czech Republic,landslide
3837955,14031,69.97226108,23.25243515,2020-06-04 04:04:29,large,Norway,landslide
3837961,14070,53.24654511,-4.12616569,2018-09-13 03:29:08,unknown,United Kingdom,landslide
3837962,14213,27.81856897,84.46740047,2018-08-04 23:12:19,small,Nepal,landslide
3837963,14189,32.82426656,-117.23500108,1961-12-15 21:35:55,medium,United States,landslide
3837964,14216,16.93278992,121.07320459,2018-10-08 01:26:39,medium,Philippines,landslide
3837965,14173,32.64606481,-16.8888588,2018-10-07 01:26:39,small,Madeira,landslide
3837966,14079,30.89560904,77.00451278999998,2018-10-13 20:19:42,small,India,landslide
3837967,14146,31.42500223,78.26035019,2018-08-12 22:10:04,medium,India,landslide
3837968,14053,13.89381604,-88.043617,2018-10-10 01:26:39,medium,El Salvador,landslide
3837969,14116,31.51688414,78.2689368,2018-10-10 01:26:39,medium,India,landslide
3837971,14125,31.6891217,77.27867699,2018-10-09 01:26:39,small,India,landslide
3837974,14040,37.34306613,-80.7778687,2018-08-03 20:50:01,medium,United States,landslide
3837976,14221,16.515960959999994,80.65421245,2018-08-15 13:05:20,small,India,landslide
3837978,14077,28.17096627,84.43234852,2018-08-15 13:05:20,medium,Nepal,landslide
3837979,14096,10.53644234,-61.16686685000001,2017-10-25 01:26:39,unknown,Trinidad and Tobago,landslide
3837982,14071,31.05513474,77.02399952,2018-08-13 20:06:27,medium,India,landslide
3837983,14215,26.87653701,88.27487677,2018-08-02 20:50:01,medium,India,landslide
3837984,14065,11.30665848,76.20771335,2018-08-13 14:16:30,medium,India,landslide
3837985,14176,10.05680488,76.76673339,2018-08-10 21:25:30,small,India,landslide
3837986,14093,9.22979437,76.85092558,2018-10-14 06:36:22,medium,India,landslide
3837988,14121,53.12283131,-4.014412999999999,2018-10-12 17:20:34,small,United Kingdom,landslide
3837989,14073,-0.83092684,119.81251953,2018-09-28 20:40:23,medium,,landslide
3837990,14223,36.49591084,-4.78161126,2018-10-10 01:26:39,medium,Spain,landslide
3837991,14171,32.68654094,-17.11372296,2018-10-09 01:26:39,small,Madeira,landslide
3837993,14059,51.95425,-4.36391667,2018-10-13 23:11:31,large,United Kingdom,landslide
3837994,14202,31.49911602,78.22419099000003,2015-04-16 01:26:39,medium,India,landslide
3837996,14207,60.99973949,-149.6412816,2018-09-08 23:11:06,small,United States,landslide
3837997,14154,10.39274551,-61.02228777,2018-10-21 03:49:19,small,Trinidad and Tobago,landslide
3838000,14162,22.37124603,91.81814521,2018-10-14 23:11:31,medium,Bangladesh,landslide
3838002,14166,52.373552600000004,-1.95732386,2018-08-15 13:05:20,small,United Kingdom,landslide
3838004,14141,49.26303304,-123.06872756,2018-12-13 16:10:33,medium,Canada,landslide
3838005,14123,2.2280317600000004,111.98540955,2018-12-16 16:10:33,small,Malaysia,landslide
3838011,14042,5.2978804099999985,-75.05293694999997,2018-10-12 03:49:19,large,Colombia,landslide
3838013,14088,-8.42467461,115.25957208,2018-12-08 13:15:26,small,Indonesia,landslide
3838014,14197,22.37124603,91.81814521,2018-10-14 23:11:31,medium,Bangladesh,landslide
3838015,14167,40.24483191,-80.14216506,2019-06-30 01:26:39,medium,United States,landslide
3838019,14191,33.29950376,75.18115668,2018-10-10 01:26:39,small,India,landslide
3838020,14074,10.50605059,-61.11096427,2018-10-21 03:49:19,small,Trinidad and Tobago,landslide
3838021,14219,12.98670911,75.27809658000002,2018-08-08 22:47:23,small,India,landslide
3838023,14119,12.79876947,75.59480115000002,2018-09-20 01:26:39,unknown,India,landslide
3838027,14087,27.87385294,105.27607285,2018-12-09 13:15:26,large,China,landslide
3838030,14126,22.37339406,91.78111519,2018-10-14 23:11:31,medium,Bangladesh,landslide
3838031,14034,8.97643017,-73.62747442,2018-09-22 01:26:39,unknown,Colombia,landslide
3838035,14227,29.35855118,81.34031998,2018-08-15 13:05:20,large,Nepal,landslide
3838036,14211,4.968220110000002,8.319957290000001,2018-10-17 20:40:23,medium,Nigeria,landslide
3838037,14195,0.56668233,99.74969195,2018-10-13 23:11:06,large,Indonesia,landslide
3838038,14095,20.43251283,85.51345613000002,2018-10-12 17:20:34,medium,India,landslide
3838039,14153,51.78717863,-3.38015362,2018-10-13 23:11:06,small,United Kingdom,landslide
3838040,14072,59.37717914,-135.83623881,2018-10-14 18:11:39,medium,United States,landslide
3838041,14090,20.47818279,86.106255,2018-10-12 21:29:50,medium,India,landslide
3838044,14149,10.69641806,-61.40650063,2018-10-08 01:26:39,medium,Trinidad and Tobago,landslide
3838045,14054,13.89970839,-88.01672031,2018-10-09 01:26:39,medium,Honduras,landslide
3838046,14144,35.47757071,-82.27948157,2018-08-03 20:50:01,medium,United States,landslide
3838048,14150,45.84126354,22.21210952,2018-12-08 13:15:26,small,Romania,landslide
3838049,14052,38.65961225,-80.73924751,2018-08-07 20:14:35,small,United States,landslide
3838052,14098,8.25053724,77.26519094000002,2018-08-15 13:05:20,medium,India,landslide
3838053,14045,32.82453089,-117.23641963,2007-10-03 15:10:33,medium,United States,landslide
3838055,14114,51.73515310000001,-2.51942894,2018-10-09 23:11:06,medium,United Kingdom,landslide
3838060,14182,-18.11302953,178.37121324999995,2017-11-15 02:26:39,small,Fiji,landslide
3838065,14085,4.54632724,101.41622885,2018-10-14 23:11:31,medium,Malaysia,landslide
3838066,14118,-1.39911072,119.97625196,2018-10-23 03:49:19,medium,Indonesia,landslide
3838067,14122,37.80401003,-81.92892389,2018-12-19 16:10:33,medium,United States,landslide
3838069,6690,-9.3884,-77.1255,2014-11-19 00:00:00,medium,Peru,landslide
3838070,5949,34.0837,-118.2701,2014-03-14 08:00:00,small,United States,landslide
3838071,2697,16.3071,121.9836,2010-11-04 00:00:00,medium,Philippines,landslide
3838072,3778,27.9512,85.6846,2011-07-15 18:00:00,small,Nepal,landslide
3838073,3073,2.3689,102.8213,2011-01-30 00:00:00,medium,Malaysia,landslide
3838075,2366,-7.4832,109.1404,2010-08-31 00:00:00,medium,Indonesia,landslide
3838076,6216,10.4792,-84.7349,2014-10-04 00:00:00,small,Costa Rica,landslide
3838077,3252,33.2466,75.1611,2011-03-19 00:00:00,medium,India,landslide
3838078,3513,6.1188,124.8792,2011-05-19 18:00:00,medium,Philippines,landslide
3838079,495,-6.0377,144.9642,2008-04-09 00:00:00,large,Papua New Guinea,landslide
3838082,8890,51.8881,-9.5825,2016-07-03 00:00:00,small,Ireland,landslide
3838084,4578,22.4539,104.0014,2012-09-27 00:00:00,large,Vietnam,landslide
3838087,684,32.5625,107.45,2008-08-01 00:00:00,large,China,landslide
3838089,973,-11.1295,-75.3587,2007-01-19 00:00:00,large,Peru,landslide
3838090,1067,28.8378,81.708,2009-07-31 00:00:00,medium,Nepal,landslide
3838091,2603,10.3336,123.8978,2010-10-16 12:00:00,medium,Philippines,landslide
3838092,4203,10.7004,124.9668,2012-02-16 00:00:00,medium,Philippines,landslide
3838099,955,12.5655,124.0419,2009-01-02 20:30:00,medium,Philippines,landslide
3838101,958,35.507,-83.071,2009-01-07 01:41:00,small,United States,landslide
3838102,959,46.11,-122.89299999999999,2009-01-07 00:00:00,small,,landslide
3838104,962,48.538000000000004,-121.75,2009-01-07 00:00:00,medium,United States,landslide
3838109,968,36.7946,5.765,2009-01-13 00:00:00,medium,Algeria,landslide
3838111,971,1.531,110.3442,2009-01-16 13:00:00,medium,Malaysia,landslide
3838112,972,-8.5073,116.662,2009-01-19 23:00:00,medium,Indonesia,landslide
3838113,974,5.031000000000001,115.0668,2009-01-22 00:00:00,medium,Brunei Darussalam,landslide
3838114,975,19.4271,-99.1276,2009-01-22 00:00:00,medium,Mexico,landslide
3838117,1054,26.8572,88.3143,2009-07-22 00:00:00,medium,India,landslide
3838118,980,9.29,123.226,2009-02-07 00:00:00,medium,Philippines,landslide
3838119,983,14.545,121.56,2009-09-09 00:00:00,medium,Philippines,landslide
3838121,1048,28.2039,83.9806,2009-07-02 03:00:00,medium,Nepal,landslide
3838122,1049,27.9447,84.2279,2009-07-02 00:00:00,medium,Nepal,landslide
3838123,1053,34.0496,131.5729,2009-07-21 00:00:00,medium,Japan,landslide
3838124,1055,26.8826,88.2788,2009-07-22 00:00:00,medium,India,landslide
3838125,1058,34.3852,132.4592,2009-07-24 00:00:00,medium,Japan,landslide
3838126,1060,31.483,103.5868,2009-07-25 00:00:00,medium,China,landslide
3838127,1061,27.478,88.527,2009-07-01 05:40:00,medium,India,landslide
3838128,1062,28.0,85.71,2009-07-27 00:00:00,large,Nepal,landslide
